nomjoueur,total_cartons
Vitor Reis,0
Rob Holding,0
Maeson King,0
Willian,0
Henry Cartwright,0
Samuel Amissah,0
Hamza Choudhury,0
Tom Heaton,0
Nasser Djiga,0
Thiago,0
Harry Howell,0
Tommy Setford,0
André Onana,0
Ruairi Mcconville,0
Caleb Kporha,0
Kadan Young,0
Nico O’Reilly,0
Eric da Silva Moreira,0
Jake Evans,0
Daniel Podence,0
Joe O'Brien-Whitmarsh,0
Abdul Fatawu Issahaku,0
John Ruddy,0
Carl Rushworth,0
Zain Silcott-Duberry,0
Tony Yogane,0
Roman Dixon,0
Kim Jisoo,0
Callum Bates,0
Jayden Meghoma,0
Andrés García,0
Michael Golding,0
Filip Jørgensen,0
Ishé Samuels-Smith,0
Elyh Harrison,0
Callum Olusesi,0
Thorsten Brits,0
Julian Eyestone,0
Mathis Amougou,0
Nathan Aké,0
Brajan Gruda,0
Benjamin Fredrick,0
Asher Agbinone,0
Daniel Adu-Adjei,0
Valentín Barco,0
Myles Peart-Harris,0
Brayden Clarke,0
Max Alleyne,0
George Edmundson,0
Massimo Luongo,0
Maldini Kacurri,0
Jack Henry-Francis,0
Antony,0
Kosta Nedeljković,0
João Virgínia,0
Martin Sherif,0
Will Lankshear,0
Issa Kaboré,0
Benjamin Arthur,0
Alfie Whiteman,0
Will Dennis,0
Benjamin Nelson,0
Odsonne Édouard,0
Fraser Forster,0
Tyler Fredricson,0
Mikey Moore,0
Bastien Meupiyou,0
Samuel Rak-Sakyi,0
Lewis Orford,0
Mark Travers,0
Maxwell Wellings,0
Jeffrey Schlupp,0
Marc Guiu,0
Dominic Sadi,0
Wes Foderingham,0
Dante Cassanova,0
Ethan Wheatley,0
Altay Bayındır,0
Cieran Slicker,0
James Bree,0
Daniel Bentley,0
Joshua King,0
Jorge Cuenca,0
Sekou Koné,0
Jeremy Sarmiento,0
Alex Murphy,0
Taiwo Awoniyi,0
Oliwier Zych,0
Martin Dúbravka,0
Donyell Malen,0
Pedro Lima,0
Coby Ebere,0
Reece Welch,0
Tyler Morton,0
Jamaal Lascelles,0
Cameron Burgess,0
Charlie Tasker,0
Luis Guilherme,0
Matheus França,0
Callan Mckenna,0
Jimi Gower,0
Miguel Almirón,0
Harvey Davies,0
Ezra Mayers,0
Danny Ings,0
Alphonse Areola,0
Steven Benda,0
Josh Wilson-Esbrand,0
Trey Nyoni,0
Freddie Simmonds,0
Ben Winterburn,0
Claudio Echeverri,0
Marcus Harness,0
Leo Shahar,0
Oyindamola Ajayi,0
Thomas Cannon,0
Mason Holgate,0
Divin Mubama,0
Tawanda Chirewa,0
Alex McCarthy,0
Killian Cahill,0
Timo Werner,0
Yunus Emre Konak,0
Patson Daka,0
Sil Swinkels,0
Remi Matthews,0
Neal Maupay,0
Kaelan Casey,0
Olabade Aluko,0
Matt Targett,0
Scott Carson,0
Salah Oulad M'Hand,0
Luis Sinisterra,0
Diego Gómez,0
Martial Godo,0
Jeremy Monga,0
Ismeal Kabia,0
Tom Taylor,0
Wataru Endo,0
Chiquinho,0
Godwill Kukonki,0
Caoimhín Kelleher,0
Odysseas Vlachodimos,0
Omar Marmoush,0
Jakub Moder,0
Edmond-Paris Maghoma,0
Kieran Tierney,0
Imari Samuels,0
Julio Soler,0
Neto,0
Harry Amass,0
