nomjoueur,impact
Mohamed Salah,47
Alexander Isak,29
Bryan Mbeumo,27
Erling Haaland,25
Ollie Watkins,24
Chris Wood,23
Cole Palmer,23
Yoane Wissa,23
Jarrod Bowen,21
Matheus Cunha,21
Jacob Murphy,20
Jørgen Strand Larsen,18
Justin Kluivert,18
Morgan Rogers,18
Bruno Fernandes,18
Luis Díaz,18
Anthony Elanga,17
Eberechi Eze,16
James Maddison,16
João Pedro,16
Son Heung-min,16
Bukayo Saka,16
Antoine Semenyo,16
Jean-Philippe Mateta,16
Alex Iwobi,15
Morgan Gibbs-White,15
Leandro Trossard,15
Nicolas Jackson,15
Raúl Jiménez,15
Danny Welbeck,14
Liam Delap,14
Ismaila Sarr,14
Kaoru Mitoma,14
Cody Gakpo,14
Brennan Johnson,14
Amad Diallo,14
Jamie Vardy,13
Kevin Schade,13
Enzo Fernández,13
Harvey Barnes,13
Kai Havertz,12
Dominik Szoboszlai,12
Mikkel Damsgaard,12
Dominic Solanke,12
Gabriel Martinelli,12
Bruno Guimarães,11
Evanilson,11
Declan Rice,11
Martin Ødegaard,11
Dango Ouattara,11
Kevin De Bruyne,11
Dejan Kulusevski,11
Anthony Gordon,11
Rayan Aït-Nouri,11
Alexis Mac Allister,10
Yankuba Minteh,10
Noni Madueke,10
Pedro Neto,10
Antonee Robinson,10
Tomáš Souček,10
Dwight McNeil,10
Youri Tielemans,10
Diogo Jota,9
Marcus Rashford,9
Phil Foden,9
Trent Alexander-Arnold,9
Mikel Merino,9
Daniel Muñoz,9
Emile Smith Rowe,9
Iliman Ndiaye,9
Rodrigo Muniz,9
Jean-Ricner Bellegarde,9
Adama Traoré,9
Sávio,9
Christian Nørgaard,9
Jeremy Doku,9
Pedro Porro,8
Georginio Rutter,8
Marcus Tavernier,8
Bernardo Silva,8
Mohammed Kudus,8
Elliot Anderson,8
Alejandro Garnacho,8
Beto,8
Mateo Kovačić,8
Aaron Wan-Bissaka,7
İlkay Gündoğan,7
Nikola Milenković,7
Jadon Sancho,7
Milos Kerkez,7
Harry Wilson,7
Darwin Núñez,7
Omar Marmoush,7
Jáder Durán,7
Jack Hinshelwood,7
Joelinton,7
Matheus Nunes,7
Facundo Buonanotte,7
Callum Hudson-Odoi,7
Marc Cucurella,6
Mateus Fernandes,6
Ethan Nwaneri,6
Sandro Tonali,6
Gonçalo Guedes,6
Ryan Sessegnon,6
Andreas Pereira,6
Thomas Partey,6
Curtis Jones,6
Wilfred Ndidi,5
Carlos Alcaraz,5
Pablo Sarabia,5
Bilal El Khannouss,5
Christopher Nkunku,5
Tyrick Mitchell,5
Omari Hutchinson,5
Stephy Mavididi,5
Pape Matar Sarr,5
Richarlison,5
Nathan Collins,5
Joško Gvardiol,5
Dean Huijsen,5
Brajan Gruda,5
Ryan Christie,5
Paul Onuachu,5
Marc Guéhi,5
Julio Enciso,5
Abdoulaye Doucouré,5
Niclas Füllkrug,5
John McGinn,5
Jordan Ayew,5
Carlos Baleba,4
Matt O'Riley,4
Marco Asensio,4
Jack Clarke,4
Lucas Digne,4
Keane Lewis-Potter,4
Jacob Ramsey,4
Vitaly Janelt,4
Virgil van Dijk,4
Mario Lemina,4
Lewis Cook,4
Eddie Nketiah,4
Trevoh Chalobah,4
Ryan Gravenberch,4
Neco Williams,4
Nélson Semedo,4
Jurriën Timber,4
Gabriel Magalhães,4
Sammie Szmodics,4
Simon Adingra,4
Tariq Lamptey,4
Ross Barkley,4
Lucas Paquetá,4
Fabian Schär,4
Dominic Calvert-Lewin,4
Lewis Hall,4
James Justin,4
Ederson,4
Rasmus Højlund,4
Joshua Zirkzee,4
Adam Armstrong,4
Mats Wieffer,4
João Gomes,4
Ashley Young,4
George Hirst,4
Jota Silva,4
Will Hughes,3
Levi Colwill,3
Ola Aina,3
Danny Ings,3
Bobby De Cordova-Reid,3
Timo Werner,3
Fabio Carvalho,3
Amadou Onana,3
Moisés Caicedo,3
James Mcatee,3
Harvey Elliott,3
Enes Ünal,3
Yasin Ayari,3
Lisandro Martínez,3
Kieran Trippier,3
James Ward-Prowse,3
Matt Doherty,3
Mathys Tel,3
Ian Maatsen,3
Tyler Adams,3
Leon Bailey,3
Joe Aribo,3
Michael Keane,3
Christian Eriksen,3
Marshall Munetsi,3
Leif Davis,3
Vitaliy Mykolenko,3
Djed Spence,3
Rico Lewis,3
Ryan Yates,3
Idrissa Gana Gueye,3
Manuel Ugarte,3
Ben Johnson,3
Ibrahima Konaté,3
Donyell Malen,3
Gabriel Jesus,3
Diogo Dalot,3
Emerson Palmieri,3
Riccardo Calafiori,3
Micky van de Ven,2
David Brooks,2
Reece James,2
Mads Roerslev,2
Jens Cajuste,2
James Tarkowski,2
Adam Lallana,2
Cameron Burgess,2
Tyler Dibling,2
Ezri Konsa,2
Cameron Archer,2
Jake O'Brien,2
Kasey McAteer,2
Abdul Fatawu Issahaku,2
Rodrigo Bentancur,2
Saša Lukić,2
Conor Chaplin,2
Harry Winks,2
Kenny Tete,2
William Saliba,2
Dan Burn,2
Matty Cash,2
Mathias Jensen,2
Hwang Hee-chan,2
Tom Cairney,2
Reiss Nelson,2
Ethan Pinnock,2
Conor Bradley,2
Matthijs de Ligt,2
Jaden Philogene Bidace,2
Carlos Soler,2
John Stones,2
Crysencio Summerville,2
Raheem Sterling,2
Jan Paul van Hecke,2
Nathan Broadhead,2
Kyle Walker-Peters,2
Ben White,2
Adam Wharton,2
Romain Esse,2
Murillo,2
Luis Sinisterra,2
Jack Grealish,2
Joe Willock,2
Dara O'Shea,2
Pervis Estupiñán,2
Yukinari Sugawara,2
Jan Bednarek,2
Yves Bissouma,2
Justin Devenny,2
Kamaldeen Sulemana,2
João Félix,2
Nico O’Reilly,2
Maxence Lacroix,2
Mark Flekken,2
Tyrique George,2
Tosin Adarabioyo,2
Rodrigo Gomes,2
Sam Morsy,2
Michail Antonio,2
Lesley Ugochukwu,2
Kieran Tierney,1
Nicolás Domínguez,1
Calvin Bassey,1
Axel Disasi,1
Ramón Sosa,1
Ferdi Kadioglu,1
Jarrad Branthwaite,1
Guido Rodríguez,1
James Hill,1
Mikey Moore,1
William Osula,1
Ibrahim Sangaré,1
Ryan Manning,1
Patson Daka,1
Illia Zabarnyi,1
Conor Townsend,1
Diego Gómez,1
Álex Moreno,1
Jakub Kiwior,1
Bart Verbruggen,1
Andrew Robertson,1
Jack Harrison,1
Harry Maguire,1
James Garner,1
Boubacar Kamara,1
Kostas Tsimikas,1
Mason Mount,1
Caleb Okoli,1
Victor Bernth Kristiansen,1
Ben Chilwell,1
William Smallbone,1
Wilson Odobert,1
Wout Faes,1
Taylor Harwood-Bellis,1
Oleksandr Zinchenko,1
Myles Lewis-Skelly,1
Tim Iroegbunam,1
Flynn Downes,1
Axel Tuanzebe,1
Kiernan Dewsbury-Hall,1
Toti Gomes,1
Timothy Castagne,1
Daniel Jebbison,1
Cristian Romero,1
Taiwo Awoniyi,1
Roméo Lavia,1
Emmanuel Agbadou,1
Orel Mangala,1
Conor Coady,1
Wes Burns,1
Chris Richards,1
Jacob Greaves,1
Max Kilman,1
Jesper Lindstrøm,1
Jack Taylor,1
Lewis Miley,1
Lucas Bergvall,1
Casemiro,1
Nicolás González,1
Malo Gusto,1
Tommy Doyle,1
Lloyd Kelly,1
Noussair Mazraoui,1
Ross Stewart,1
Valentino Livramento,1
Evan Ferguson,1
Dane Scarlett,1
Bernd Leno,1
Destiny Udogie,1
Jefferson Lerma,1
James Bree,1
Jack Stephens,1
Edson Álvarez,1
Michael Kayode,1
Jordan Pickford,1
Matheus França,1
Nathan Patterson,1
Oscar Bobb,0
Craig Dawson,0
Aaron Cresswell,0
Jack Porter,0
Yang Minhyeok,0
Amara Nallo,0
Frank Onyeka,0
Reece Welch,0
Coby Ebere,0
Robert Sánchez,0
Emi Buendía,0
Alfie Devine,0
Aaron Hickey,0
Rodri,0
Brandon Austin,0
Leny Yoro,0
Jason Steele,0
Tyrell Malacia,0
Freddie Simmonds,0
Victor Lindelöf,0
Ben Godfrey,0
Jeremy Sarmiento,0
Jay Stansfield,0
Sander Berge,0
Jack Fletcher,0
Nathan Butler-Oyedeji,0
Kobbie Mainoo,0
Sven Botman,0
Armando Broja,0
Genesis Antwi,0
Toby Collyer,0
Andy Irving,0
Boubakary Soumaré,0
Billy Gilmour,0
Jean-Clair Todibo,0
Isaac Heath,0
Tom King,0
Sean Neave,0
Pedro Lima,0
Luke Shaw,0
Joël Veltman,0
Oliver Skipp,0
Jamaldeen Jimoh,0
Ayden Heaven,0
Jeremy Monga,0
Ethan Wheatley,0
Joe Knight,0
James McConnell,0
Kaden Rodney,0
Dominic Sadi,0
Łukasz Fabiański,0
Chadi Riad,0
Dermot Mee,0
Jeffrey Schlupp,0
Mark Travers,0
Kyle Walker,0
Nick Pope,0
Alfie Dorrington,0
Tyrone Mings,0
Remy Rees-Dottin,0
Cesare Casadei,0
Tyler Fredricson,0
Mykhailo Mudryk,0
Fraser Forster,0
Scott McTominay,0
Ricardo Pereira,0
Archie Harris,0
Benjamin Nelson,0
Thomas Wilson-Brown,0
Gustavo Nunes,0
Hamed Junior Traorè,0
Danilo,0
Adam Webster,0
José Sá,0
Joe Lumley,0
Harrison Reed,0
Jakub Moder,0
Caoimhín Kelleher,0
Aaron Ramsdale,0
Godwill Kukonki,0
Chiquinho,0
Julian Araujo,0
Yerson Mosquera,0
Konstantinos Mavropanos,0
Issa Kaboré,0
Odsonne Édouard,0
Will Lankshear,0
Tom Taylor,0
Patrick Dorgu,0
Roman Dixon,0
Sepp van den Berg,0
Manuel Akanji,0
Wesley Fofana,0
Martial Godo,0
Salah Oulad M'Hand,0
Harrison Armstrong,0
Kaelan Casey,0
Neal Maupay,0
Killian Cahill,0
Alex McCarthy,0
Issa Diop,0
Harry Clarke,0
Antony,0
Thomas Cannon,0
Leo Shahar,0
Santiago Bueno,0
Adam Smith,0
Marcus Harness,0
Claudio Echeverri,0
Josh Wilson-Esbrand,0
Ben Davies,0
Steven Benda,0
Alphonse Areola,0
Ezra Mayers,0
Harvey Davies,0
Archie Gray,0
Callan Mckenna,0
Zain Silcott-Duberry,0
Jakub Stolarczyk,0
Joe O'Brien-Whitmarsh,0
Charlie Tasker,0
Ruairi Mcconville,0
Tyler Morton,0
Yehor Yarmoliuk,0
Cheick Doucouré,0
Joachim Kayi Sanda,0
Martin Dúbravka,0
Zach Abbott,0
Oliver Scarles,0
Oliwier Zych,0
Sekou Koné,0
Jorginho,0
Jorge Cuenca,0
Joel Ward,0
Joshua King,0
Daniel Bentley,0
Woyo Coulibaly,0
Antonín Kinský,0
Sam Johnstone,0
Vladimír Coufal,0
Charlie Taylor,0
Ali Al Hamadi,0
Cieran Slicker,0
Vitezslav Jaros,0
Altay Bayındır,0
Wes Foderingham,0
Joe Gauci,0
Asmir Begović,0
Marc Guiu,0
Maxwell Wellings,0
Eiran Cashin,0
Lewis Orford,0
Samuel Rak-Sakyi,0
Will Dennis,0
Morato,0
Callum Wilson,0
Julio Soler,0
Alfie Whiteman,0
Benjamin Arthur,0
Martin Sherif,0
João Virgínia,0
Kosta Nedeljković,0
Bastien Meupiyou,0
Divin Mubama,0
Jack Henry-Francis,0
Maldini Kacurri,0
Massimo Luongo,0
Brayden Clarke,0
Trey Nyoni,0
Asher Agbinone,0
Philip Billing,0
Elyh Harrison,0
Renato Veiga,0
Alex Murphy,0
Pau Torres,0
James Milner,0
Dante Cassanova,0
Mateus Mane,0
Wesley Okoduwa,0
Federico Chiesa,0
Jacob Slater,0
Takehiro Tomiyasu,0
Naouirou Ahamada,0
Jaidon Anthony,0
Hákon Valdimarsson,0
Matai Akinmboni,0
Henry Cartwright,0
Chiedozie Ogbene,0
Hubert Graczyk,0
Alisson,0
Alfie Pond,0
Jayden Moore,0
Iwan Morgan,0
Carlos Vinícius,0
Jenson Metcalfe,0
Radu Drăgușin,0
Luke Cundle,0
Shumaira Mheuka,0
Carlos Miguel,0
Jayden Danns,0
Josh Nichols,0
Boubacar Traoré,0
Malachi Hardy,0
Daniel Iversen,0
Rico Henry,0
Benoît Badiashile,0
Benjamin Broggio,0
David Raya,0
Daichi Kamada,0
Will Alves,0
Robin Olsen,0
Somto Boniface,0
Franco Umeh-Chibueze,0
Luke Woolfenden,0
Kepa Arrizabalaga,0
Jack Moorhouse,0
Mark O'Mahony,0
Mads Hermansen,0
Danny Ward,0
Joshua Acheampong,0
Marcus Bettinelli,0
Albert Grønbaek,0
Nathaniel Clyne,0
Harry Amass,0
Jacob Wright,0
Aaron Anselmino,0
Jahmai Simpson-Pusey,0
Neto,0
Carlos Forbs,0
Jayce Fitzgerald,0
Igor,0
Luca Williams Barnett,0
Christian Walton,0
Alex Palmer,0
Edmond-Paris Maghoma,0
Marcos Senesi,0
Sammy Braybrooke,0
Ryan Trevitt,0
Nathan Wood-Gordon,0
Rob Holding,0
Maeson King,0
Guglielmo Vicario,0
Lewis Dunk,0
Tom Heaton,0
Nasser Djiga,0
Thiago,0
André Onana,0
Odysseas Vlachodimos,0
Kadan Young,0
Eric da Silva Moreira,0
Jake Evans,0
Samuel Amo-Ameyaw,0
Arijanet Muric,0
André,0
Carl Rushworth,0
Séamus Coleman,0
Wataru Endo,0
Ryan Fraser,0
Maxwel Cornet,0
Samuel Edozie,0
Sean Longstaff,0
Ben Mee,0
Filip Jørgensen,0
Kalvin Phillips,0
Imari Samuels,0
Ismeal Kabia,0
Julian Eyestone,0
Mathis Amougou,0
Benjamin Fredrick,0
