Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,id_equipe,id_joueur
Liverpool,Mohamed Salah,EGY,FW,32,38,38,3371,37.5,29,18,47,20,9,9,1,0.0,25.2,1,1
Liverpool,Virgil van Dijk,NED,DF,33,37,37,3330,37.0,3,1,4,3,0,0,5,0.0,2.2,1,2
Liverpool,Ryan Gravenberch,NED,MF,22,37,37,3160,35.1,0,4,4,0,0,0,6,1.0,1.1,1,3
Liverpool,Alexis Mac Allister,ARG,MF,25,35,30,2599,28.9,5,5,10,5,0,0,6,0.0,2.8,1,4
Liverpool,Ibrahima Konaté,FRA,DF,25,31,30,2560,28.4,1,2,3,1,0,0,5,0.0,1.7,1,5
Liverpool,Dominik Szoboszlai,HUN,MF,23,36,29,2491,27.7,6,6,12,6,0,0,6,0.0,7.3,1,6
Liverpool,Andrew Robertson,SCO,DF,30,33,29,2482,27.6,0,1,1,0,0,0,3,1.0,1.2,1,7
Liverpool,Alisson,BRA,GK,31,28,28,2508,27.9,0,0,0,0,0,0,0,0.0,0.0,1,8
Liverpool,Luis Díaz,COL,FW,27,36,28,2399,26.7,13,5,18,13,0,0,2,0.0,12.0,1,9
Liverpool,Trent Alexander-Arnold,ENG,DF,25,33,28,2365,26.3,3,6,9,3,0,0,5,0.0,1.9,1,10
Liverpool,Cody Gakpo,NED,FW,25,35,23,1935,21.5,10,4,14,10,0,0,5,0.0,7.1,1,11
Liverpool,Curtis Jones,ENG,"MF,DF",23,33,19,1712,19.0,3,3,6,3,0,0,3,1.0,4.3,1,12
Liverpool,Diogo Jota,POR,FW,27,26,14,1196,13.3,6,3,9,6,0,0,2,0.0,7.9,1,13
Liverpool,Caoimhín Kelleher,IRL,GK,25,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,1,14
Liverpool,Kostas Tsimikas,GRE,DF,28,18,9,837,9.3,0,1,1,0,0,0,2,0.0,0.4,1,15
Liverpool,Darwin Núñez,URU,FW,25,30,8,1133,12.6,5,2,7,5,0,0,8,0.0,5.8,1,16
Liverpool,Conor Bradley,NIR,DF,21,19,7,754,8.4,0,2,2,0,0,0,4,0.0,0.7,1,17
Liverpool,Joe Gomez,ENG,DF,27,9,6,519,5.8,0,0,0,0,0,0,1,0.0,0.3,1,18
Liverpool,Jarell Quansah,ENG,DF,21,13,4,495,5.5,0,0,0,0,0,0,2,0.0,0.1,1,19
Liverpool,Harvey Elliott,ENG,MF,21,18,2,371,4.1,1,2,3,1,0,0,1,0.0,1.8,1,20
Liverpool,Wataru Endo,JPN,"MF,DF",31,20,1,273,3.0,0,0,0,0,0,0,0,0.0,0.0,1,21
Liverpool,Federico Chiesa,ITA,FW,26,6,1,108,1.2,0,0,0,0,0,0,0,0.0,0.3,1,22
Liverpool,Vitezslav Jaros,CZE,GK,23,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,1,23
Liverpool,Jayden Danns,ENG,MF,18,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,1,24
Liverpool,Harvey Davies,ENG,GK,20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,25
Liverpool,James McConnell,ENG,MF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,26
Liverpool,Tyler Morton,ENG,MF,21,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,27
Liverpool,Amara Nallo,ENG,DF,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,28
Liverpool,Trey Nyoni,ENG,MF,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,29
Arsenal,David Raya,ESP,GK,28,38,38,3420,38.0,0,0,0,0,0,0,3,0.0,0.0,2,30
Arsenal,William Saliba,FRA,DF,23,35,35,3039,33.8,2,0,2,2,0,0,2,1.0,2.3,2,31
Arsenal,Declan Rice,ENG,MF,25,35,33,2825,31.4,4,7,11,4,0,0,7,1.0,3.5,2,32
Arsenal,Thomas Partey,GHA,"MF,DF",31,35,31,2797,31.1,4,2,6,4,0,0,4,0.0,2.3,2,33
Arsenal,Leandro Trossard,BEL,FW,29,38,28,2546,28.3,8,7,15,8,0,0,4,1.0,7.2,2,34
Arsenal,Gabriel Magalhães,BRA,DF,26,28,28,2363,26.3,3,1,4,3,0,0,4,0.0,2.6,2,35
Arsenal,Jurriën Timber,NED,DF,23,30,27,2417,26.9,1,3,4,1,0,0,7,0.0,1.2,2,36
Arsenal,Martin Ødegaard,NOR,MF,25,30,26,2325,25.8,3,8,11,2,1,1,4,0.0,4.8,2,37
Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,33,25,2290,25.4,8,4,12,8,0,0,1,0.0,7.4,2,38
Arsenal,Kai Havertz,GER,"FW,MF",25,23,21,1875,20.8,9,3,12,9,0,0,5,0.0,9.5,2,39
Arsenal,Bukayo Saka,ENG,"FW,MF",22,25,20,1729,19.2,6,10,16,5,1,1,3,0.0,6.8,2,40
Arsenal,Mikel Merino,ESP,"MF,FW",28,28,17,1586,17.6,7,2,9,7,0,0,4,1.0,5.9,2,41
Arsenal,Myles Lewis-Skelly,ENG,DF,17,23,15,1369,15.2,1,0,1,1,0,0,3,2.0,0.2,2,42
Arsenal,Ben White,ENG,DF,26,17,13,1198,13.3,0,2,2,0,0,0,2,0.0,0.5,2,43
Arsenal,Riccardo Calafiori,ITA,DF,22,19,11,983,10.9,2,1,3,2,0,0,4,0.0,0.9,2,44
Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,26,11,895,9.9,4,2,6,4,0,0,1,0.0,1.2,2,45
Arsenal,Jakub Kiwior,POL,DF,24,17,10,1122,12.5,1,0,1,1,0,0,1,0.0,0.2,2,46
Arsenal,Jorginho,ITA,MF,32,15,9,704,7.8,0,0,0,0,0,0,5,0.0,0.1,2,47
Arsenal,Raheem Sterling,ENG,"FW,MF",29,17,7,499,5.5,0,2,2,0,0,0,1,0.0,1.4,2,48
Arsenal,Gabriel Jesus,BRA,FW,27,17,6,608,6.8,3,0,3,3,0,0,4,0.0,3.0,2,49
Arsenal,Oleksandr Zinchenko,UKR,"DF,MF",27,15,5,527,5.9,0,1,1,0,0,0,1,0.0,0.6,2,50
Arsenal,Kieran Tierney,SCO,"DF,FW",27,13,2,259,2.9,1,0,1,1,0,0,0,0.0,0.4,2,51
Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.1,2,52
Arsenal,Takehiro Tomiyasu,JPN,DF,25,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.2,2,53
Arsenal,Reiss Nelson,ENG,FW,24,1,0,3,0.0,0,0,0,0,0,0,0,0.0,0.0,2,54
Arsenal,Brayden Clarke,WAL,DF,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,55
Arsenal,Jimi Gower,ENG,MF,19,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,56
Arsenal,Ayden Heaven,ENG,DF,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,57
Arsenal,Jack Henry-Francis,IRL,MF,20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,58
Arsenal,Ismeal Kabia,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,59
Arsenal,Maldini Kacurri,ALB,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,60
Arsenal,Neto,BRA,GK,35,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,61
Arsenal,Josh Nichols,ENG,DF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,2,62
